scenario,consolidated_stake_fraction,validators,cv_effective_balance,worst_x,worst_y,required_pct,count_component_pct,spread_component_pct,exceeds_spec_margin,shortfall_x
19.2M ETH (notebook baseline),0.0,600000,0.0,1,1,0.2363,0.2363,0.0,False,0.47
19.2M ETH (notebook baseline),0.05,570469,1.7167,1,1,3.3103,0.2423,3.3014,True,6.62
19.2M ETH (notebook baseline),0.1,540938,2.363,1,1,4.6733,0.2488,4.6667,True,9.35
19.2M ETH (notebook baseline),0.2,481875,3.15,1,1,6.5963,0.2636,6.5911,True,13.19
19.2M ETH (notebook baseline),0.3,422812,3.6087,1,1,8.0657,0.2814,8.0608,True,16.13
19.2M ETH (notebook baseline),0.4,363750,3.8579,1,1,9.2961,0.3034,9.2912,True,18.59
19.2M ETH (notebook baseline),0.5,304688,3.9375,1,1,10.3663,0.3315,10.361,True,20.73
19.2M ETH (notebook baseline),0.6,245625,3.8579,1,1,11.3123,0.3692,11.3063,True,22.62
19.2M ETH (notebook baseline),0.7,186562,3.6088,1,1,12.1433,0.4237,12.1359,True,24.29
19.2M ETH (notebook baseline),0.8,127500,3.15,1,1,12.8235,0.5125,12.8132,True,25.65
19.2M ETH (notebook baseline),0.9,68438,2.3624,1,1,13.1337,0.6993,13.1151,True,26.27
19.2M ETH (notebook baseline),0.95,38906,1.7163,1,1,12.6693,0.9272,12.6353,True,25.34
19.2M ETH (notebook baseline),1.0,9375,0.0,1,1,1.8841,1.8841,0.0,True,3.77
34M ETH (mainnet scale),0.0,1062500,0.0,1,1,0.1775,0.1775,0.0,False,0.35
34M ETH (mainnet scale),0.05,1010205,1.7162,1,1,2.4869,0.1821,2.4802,True,4.97
34M ETH (mainnet scale),0.1,957910,2.3624,1,1,3.511,0.187,3.506,True,7.02
34M ETH (mainnet scale),0.2,853320,3.1499,1,1,4.9569,0.1981,4.9529,True,9.91
34M ETH (mainnet scale),0.3,748730,3.6087,1,1,6.0613,0.2115,6.0576,True,12.12
34M ETH (mainnet scale),0.4,644141,3.858,1,1,6.9858,0.228,6.9821,True,13.97
34M ETH (mainnet scale),0.5,539551,3.9375,1,1,7.79,0.2491,7.786,True,15.58
34M ETH (mainnet scale),0.6,434961,3.8579,1,1,8.5011,0.2775,8.4966,True,17.0
34M ETH (mainnet scale),0.7,330371,3.6088,1,1,9.1252,0.3184,9.1197,True,18.25
34M ETH (mainnet scale),0.8,225781,3.15,1,1,9.6365,0.3851,9.6288,True,19.27
34M ETH (mainnet scale),0.9,121191,2.3625,1,1,9.8711,0.5256,9.8571,True,19.74
34M ETH (mainnet scale),0.95,68896,1.7163,1,1,9.5235,0.6972,9.4979,True,19.05
34M ETH (mainnet scale),1.0,16602,0.0,1,1,1.4182,1.4182,0.0,True,2.84
