consolidated_stake_fraction,validators,cv,k_slots,required_pct,headroom_to_total_pct,padding_fits_in_headroom
0.0,600000,0.0,1,0.0,3100.0,True
0.0,600000,0.0,2,0.0,1500.0,True
0.0,600000,0.0,4,0.0,700.0,True
0.0,600000,0.0,8,0.0,300.0,True
0.0,600000,0.0,16,0.0,100.0,True
0.0,600000,0.0,24,0.0,33.333,True
0.0,600000,0.0,31,0.0,3.226,True
0.2,481875,3.15,1,9.396,3100.0,True
0.2,481875,3.15,2,6.536,1500.0,True
0.2,481875,3.15,4,4.4649,700.0,True
0.2,481875,3.15,8,2.923,300.0,True
0.2,481875,3.15,16,1.6876,100.0,True
0.2,481875,3.15,24,0.9744,33.333,True
0.2,481875,3.15,31,0.3033,3.226,True
0.5,304688,3.937,1,14.7704,3100.0,True
0.5,304688,3.937,2,10.2744,1500.0,True
0.5,304688,3.937,4,7.0188,700.0,True
0.5,304688,3.937,8,4.5949,300.0,True
0.5,304688,3.937,16,2.6529,100.0,True
0.5,304688,3.937,24,1.5317,33.333,True
0.5,304688,3.937,31,0.4769,3.226,True
0.8,127500,3.15,1,18.2661,3100.0,True
0.8,127500,3.15,2,12.7061,1500.0,True
0.8,127500,3.15,4,8.6799,700.0,True
0.8,127500,3.15,8,5.6824,300.0,True
0.8,127500,3.15,16,3.2808,100.0,True
0.8,127500,3.15,24,1.8944,33.333,True
0.8,127500,3.15,31,0.5901,3.226,True
